District.Code,District.Name,Latitude,Longitude
1,Ciutat Vella,41.380833,2.173056
2,Eixample,41.390833,2.163056
3,Sants-Montjuïc,41.363283,2.162589
4,Les Corts,41.387369,2.141819
5,Sarrià-Sant Gervasi,41.398611,2.131111
6,Gràcia,41.406667,2.158056
7,Horta-Guinardó,41.413056,2.166389
8,Nou Barris,41.441389,2.171944
9,Sant Andreu,41.436111,2.191111
10,Sant Martí,41.417864,2.198681
